allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,applaws,,0%,419/100g,29%,21%,3%,47%,dry,,0.0%,27.0%,20.0%,2.5%,6.5%,44.0%,"Chicken Meal,Turkey Meal,Salmon Meal,Chicken,Potato,Chicken Fat (Preserved with Mixed Tocopherols),Dried Plain Beet Pulp,Peas,Natural Flavor,Sun Cured Alfalfa Meal,Salmon Oil,Yeast Extract(Purified Beta Glucan),Taurine,Cranberries,Calcium Carbonate,Vitamin E Supplement,Zinc Proteinate,Zinc Sulfate,Ferrous Sulfate,Iron Proteinate,Potassium Chloride,Copper Sulfate,Copper Proteinate,Niacin Supplement,Calcium Pantothenate,Manganese Sulfate,Sodium Selenite,Manganese Proteinate,Vitamin A Supplement,Riboflavin Supplement,Vitamin D3 Supplement,Vitamin B12 Supplement,Thiamine Mononitrate,Pyridoxine Hydrochloride,Calcium Iodate,Folic Acid,Rosemary",[5],Chicken with Salmon,[3],,
,annamaet,,7%,357/100g,36%,17%,3%,37%,dry,,6.3%,32.7%,15.0%,3.0%,10.0%,33.0%,"Chicken Meal,Brown Rice,Chicken Fat (Preserved with Mixed Tocopherols (Vitamin E)),Rolled Oats,Millet,Pearled Barley,Herring Meal,Whole Dried Egg,Dried Beet Pulp,Crab Meal,Menhaden Oil (Preserved with Mixed Tocopherols (Vitamin E)),Brewers Dried Yeast,Lecithin,Fat Product (Algae,Source of Fatty Acids),Cranberries,Salt,Calcium Carbonate,Potassium Chloride,L-Lysine,DL Methionine,Ascorbic Acid,Yucca Schidigera Extract,Taurine,Vitamin E Supplement,Niacin Supplement,Organic Dried Kelp,Biotin,Thiamine Mononitrate,Pyridoxine Hydrochloride,Vitamin A Acetate,Riboflavin Supplement,d-Calcium Pantothenate,Vitamin B12 Supplement,Citric Acid,Vitamin D3 Supplement,Folic Acid,Ferrous Sulfate,Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Zinc Oxide,Copper Sulfate,Manganese Sulfate,Manganese Proteinate,Copper Proteinate,Manganous Oxide,Sodium Selenite,Calcium Iodate",[2],Original Feline,[2],,
,american journey,,2%,368/100g,32%,17%,4%,44%,dry,,2.2%,28.8%,15.0%,4.0%,10.0%,40.0%,"Deboned Turkey,Turkey Meal,Chicken Meal,Tapioca Starch,Dried Egg Product,Pea Protein,Peas,Deboned Chicken,Natural Flavor,Menhaden Fish Meal,Chicken Fat (Preserved with Mixed Tocopherols),Flaxseed,Pea Fiber,Choline Chloride,Potassium Chloride,Inulin,DL-Methionine,Taurine,Salt,Spinach,Apples,Blueberries,Carrots,Cranberries,Pumpkin,Mixed Tocopherols (Preservative),Ferrous Sulfate,Zinc Proteinate,Zinc Sulfate,Vitamin E Supplement,Iron Proteinate,Niacin Supplement,Copper Sulfate,Sodium Selenite,Copper Proteinate,Vitamin A Supplement,Thiamine Mononitrate,L-Carnitine,Manganese Sulfate,Manganese Proteinate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Folic Acid,Calcium Iodate,Vitamin D3 Supplement,Rosemary Extract,Yeast Culture,Dried Enterococcus Faecium Fermentation Product,Dried Lactobacillus Acidophilus Fermentation Product,Dried Aspergillus Niger Fermentation Extract,Dried Trichoderma Longibrachiatum Fermentation Extract,Dried Bacillus Subtilis Fermentation Extract",[4],Grain-Free Turkey & Chicken Recipe,[3],,
,american natural premium,,0%,373/100g,43%,16%,4%,38%,dry,,0.0%,38.5%,14.0%,3.5%,10.0%,34.0%,"chicken meal,brown rice,white rice,poultry fat,pearled barley,tomato pomace,whole dried egg,carrots,monocalcium phosphate,potassium chloride,salt,cranberries,dl-methionine,taurine,chicory root extract,yucca schidigera extract,sodium selenite,vitamins [vitamin A acetate,vitamin D3 supplement,vitamin E supplement,vitamin B12 supplement,choline bitartrate,niacin supplement,d-calcium pantothenate,l-ascorbyl-2-polyphosphate,riboflavin supplement,thiamine mononitrate,pyridoxine hydrochloride,folic acid,biotin],minerals [zinc sulfate,ferrous sulfate,manganese sulfate,magnesium sulfate,copper sulfate,cobalt carbonate,calcium iodate,iron proteinate,zinc proteinate,copper proteinate,manganese proteinate,magnesium proteinate,cobalt proteinate],dried Lactobacillus acidophilus fermentation product,dried Bifidobacterium longum fermentation product,dried Lactobacillus plantarum fermentation product,dried Pediococcus acidilactici fermentation product",[2],Original Recipe,[1],,
,almo nature,,13%,64/100g,0%,8%,3%,76%,wet,,2.5%,0.0%,1.5%,0.5%,81.0%,14.5%,"Tuna,Water Sufficient for Cooking,Pumpkin,Sunflower Oil,Tapioca Starch,Natural Flavor,Tricalcium Phosphate,Guar Gum,Minerals (Zinc Oxide,Reduced Iron,Sodium Selenite,Manganese Sulfate Monohydrate,Copper Glycine Complex,Potassium Iodide),Choline Chloride,Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Folic Acid,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity))",[2],Complete Tuna Recipe With Pumpkin Grain-free,[5],,
,zoe,,1%,365/100g,47%,16%,5%,31%,dry,,1.2%,42.3%,14.0%,4.5%,10.0%,28.0%,"Turkey meal,deboned turkey,pearled barley,oatmeal,peas,quinoa seed,chia seed,sweet potatoes,flaxseed,chickpeas,sun-cured alfalfa meal,egg product,chicken fat (preserved with mixed tocopherols),natural chicken flavor,salmon oil (source of DHA),potassium chloride,apple,blueberry,cranberry,carrot,spinach,broccoli,calcium propionate (preservative),sodium bisulfate,calcium carbonate,DL-methionine,salt,choline chloride,L-lysine,taurine,vitamins [vitamin E supplement,vitamin A supplement,niacin,calcium pantothenate,riboflavin,pyridoxine hydrochloride,thiamine mononitrate,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid],minerals [zinc sulfate,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganous oxide,calcium iodate,sodium selenite],phosphoric acid,chicory root extract,yeast extract,sunflower lecithin,yucca schidigera extract,rosemary extract,L-carnitine,dried Lactobacillus acidophilus fermentation product,dried Lactobacillus casei fermentation product,dried Bifidobacterium bifidum fermentation product,dried Enterococcus faecium fermentation product.",[4],Weight Control Turkey With Barley & Quinoa,[1],,
,against the grain,,11%,63/100g,6%,11%,6%,67%,wet,,2.0%,1.0%,2.0%,1.0%,82.0%,12.0%,"Tuna,Water Sufficient For Processing,Shrimp,Salmon,Palm Oil,Tricalcium Phosphate,Cellulose Fiber,Xanthan Gum,Taurine,Ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Dicalcium Phosphate,Folic Acid,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Biotin,Sodium Selenite,Vitamin B12 Supplement",[4],Shrimp Daddy with Tuna & Salmon,[5],,
,against the grain,,9%,63/100g,6%,12%,3%,71%,wet,,1.5%,1.0%,2.0%,0.5%,83.0%,12.0%,"Chicken,Water Sufficient For Processing,Pumpkin,Tricalcium Phosphate,Palm Oil,Tapioca,Taurine,Xanthan Gum,Vitamins (vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Folic Acid,Biotin,Vitamin B12 Supplement),Minerals (ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Dicalcium Phosphate,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Sodium Selenite)",[4],Chicken & Pumpkin Samba,[5],,
,against the grain,,8%,66/100g,3%,11%,3%,75%,wet,,1.5%,0.5%,2.0%,0.5%,82.0%,13.5%,"Chicken,Water Sufficient For Processing,Cheddar Cheese,Tricalcium Phosphate,Palm Oil,Tapioca,Taurine,Xanthan Gum,Vitamins (vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Folic Acid,Biotin,Vitamin B12 Supplement),Minerals (ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Dicalcium Phosphate,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Sodium Selenite)",[4],Caribbean Club with Chicken & Cheese,[5],,
,against the grain,,24%,54/100g,3%,12%,3%,59%,wet,,4.0%,0.5%,2.0%,0.5%,83.0%,10.0%,"Ocean Fish (sardine And Mackerel),Water Sufficient For Processing,Palm Oil,Carrageenan,Taurine,Xanthan Gum,Vitamins (vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Folic Acid,Biotin,Vitamin B12 Supplement),Minerals (ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Dicalcium Phosphate,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Sodium Selenite)",[1],Captain’s Catch with Sardine & Mackerel,[4],,
,against the grain,,11%,59/100g,0%,11%,11%,67%,wet,,2.0%,0.0%,2.0%,2.0%,82.0%,12.0%,"Tuna,Water Sufficient For Processing,Krill (small Shrimp),Whole Egg Powder,Palm Oil,Tricalcium Phosphate,Taurine,Xanthan Gum,Vitamins (vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Folic Acid,Biotin,Vitamin B12 Supplement),Minerals (ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Dicalcium Phosphate,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Sodium Selenite)",[3],Bimini Brunch with Krill & Egg,[5],,
,against the grain,,11%,64/100g,8%,11%,3%,67%,wet,,2.0%,1.5%,2.0%,0.5%,82.0%,12.0%,"Tuna,Water Sufficient For Processing,Tilapia,Crab,Palm Oil,Tricalcium Phosphate,Cellulose Fiber,Xanthan Gum,Taurine,Ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Dicalcium Phosphate,Folic Acid,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Biotin,Sodium Selenite,Vitamin B12 Supplement",[4],Big Kahuna with Crab and Tilapia,[5],,
,against the grain,,11%,64/100g,8%,11%,3%,67%,wet,,2.0%,1.5%,2.0%,0.5%,82.0%,12.0%,"Tuna,Water Sufficient For Processing,Crab,Palm Oil,Tricalcium Phosphate,Seaweed,Taurine,Xanthan Gum,Vitamins (vitamin E Supplement,Niacin,Vitamin A Supplement,Thiamine Mononitrate,Vitamin D3 Supplement,Pantothenic Acid,Riboflavin Supplement,Choline Chloride,Pyridoxine Hydrochloride,Folic Acid,Biotin,Vitamin B12 Supplement),Minerals (ferrous Sulfate Monohydrate,Zinc Sulfate Heptahydrate,Manganese Sulfate Monohydrate,Copper Sulfate Pentahydrate,Dicalcium Phosphate,Potassium Iodide,Potassium Chloride,Magnesium Sulfate Monohydrate,Sodium Selenite)",[3],Aloha Tuna with Seaweed & Crab,[5],,
,zoe,,1%,377/100g,45%,18%,4%,31%,dry,,1.2%,40.8%,16.0%,4.0%,10.0%,28.0%,"Turkey meal,deboned turkey,pearled barley,oatmeal,peas,russet potato,quinoa seed,chia seed,flaxseed,sweet potatoes,chickpeas,chicken fat (preserved with mixed tocopherols),pumpkin,egg product,natural chicken flavor,salmon oil (source of DHA),potassium chloride,apple,blueberry,cranberry,carrot,spinach,broccoli,calcium propionate (preservative),calcium carbonate,sodium bisulfate,DL-methionine,salt,choline chloride,L-lysine,taurine,vitamins [vitamin E supplement,vitamin A supplement,niacin,calcium pantothenate,riboflavin,pyridoxine hydrochloride,thiamine mononitrate,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid],minerals [zinc sulfate,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganous oxide,calcium iodate,sodium selenite],phosphoric acid,chicory root extract,yeast extract,sunflower lecithin,yucca schidigera extract,rosemary extract,dried Lactobacillus acidophilus fermentation product,dried Lactobacillus casei fermentation product,dried Bifidobacterium bifidum fermentation product,dried Enterococcus faecium fermentation product.",[4],Indoor Formula Turkey With Peas & Russet Potato,[1],,
,zoe,,1%,389/100g,41%,20%,4%,33%,dry,,1.2%,37.3%,18.0%,3.5%,10.0%,30.0%,"Chicken meal,deboned chicken,peas,pearled barley,oatmeal,chicken fat (preserved with mixed tocopherols),quinoa seed,sweet potato,chia seed,flaxseed,chickpeas,egg product,natural chicken flavor,salmon oil (source of DHA),potassium chloride,apple,blueberry,cranberry,carrot,spinach,broccoli,calcium carbonate,calcium propionate (preservative),sodium bisulfate,DL-methionine,salt,choline chloride,L-lysine,taurine,vitamins [vitamin E supplement,vitamin A supplement,niacin,calcium pantothenate,riboflavin,pyridoxine hydrochloride,thiamine mononitrate,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid],minerals [zinc sulfate,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganous oxide,calcium iodate,sodium selenite],chicory root extract,yeast extract,phosphoric acid,sunflower lecithin,yucca schidigera extract,rosemary extract,dried Lactobacillus acidophilus fermentation product,dried Lactobacillus casei fermentation product,dried Bifidobacterium bifidum fermentation product,dried Enterococcus faecium fermentation product.",[4],Daily Nutrition Chicken With Sweet Potato & Quinoa Recipe,[2],,
,zoe,,19%,54/100g,29%,19%,6%,28%,wet,,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Turkey,Potato,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Turkey & Cuts Of Chicken In Gravy,[2],,
